device_id,phone_number,carrier,device_type,imei
117,8785557725,T-Mobile,OnePlus 11,3.5592E+14
118,7175559936,Verizon,iPhone 13 Pro,3.53829E+14
119,2235551184,AT&T,Samsung Galaxy S23 Ultra,3.56829E+14
120,4845556612,T-Mobile,Google Pixel 8 Pro,3.54829E+14
121,2155553305,Verizon,iPhone 12 Pro,3.53829E+14
122,2675551188,AT&T,Motorola Edge+,3.55829E+14
123,5705557725,T-Mobile,Samsung Galaxy A34,3.5692E+14
124,4125552208,Verizon,iPhone 11,3.53829E+14
125,6105559935,AT&T,Google Pixel 5a,3.54829E+14
126,7245553306,T-Mobile,OnePlus 9,3.5592E+14
127,8785556613,Verizon,iPhone SE,3.53829E+14
128,7175551185,AT&T,Samsung Galaxy S20 FE,3.56829E+14
129,2235553309,T-Mobile,Google Pixel 6a,3.54829E+14
130,4845559934,Verizon,iPhone 14 Plus,3.53829E+14
131,2155557725,AT&T,Motorola G Stylus,3.55829E+14
132,2675552204,T-Mobile,Samsung Galaxy S10,3.5692E+14
133,5705551185,Verizon,iPhone XR,3.53829E+14
134,4125557724,AT&T,Google Pixel 4a,3.54829E+14
135,6105552207,T-Mobile,OnePlus 8T,3.5592E+14
136,7245559936,Verizon,iPhone 11 Pro,3.53829E+14
137,8785551184,AT&T,Samsung Galaxy S21 FE,3.56829E+14
138,7175557726,T-Mobile,Google Pixel 5,3.54829E+14
139,2235554414,Verizon,iPhone 13 Mini,3.53829E+14
140,4845551184,AT&T,Motorola Edge 2023,3.55829E+14
141,2155556616,T-Mobile,Samsung Galaxy S23+,3.5692E+14
142,2675559934,Verizon,iPhone 15 Plus,3.53829E+14
143,5705553307,AT&T,Google Pixel Fold,3.54829E+14
144,4125556619,T-Mobile,OnePlus 12,3.5592E+14
145,6105551186,Verizon,iPhone 13 Pro Max,3.53829E+14
146,7245552209,AT&T,Samsung Galaxy Z Flip,3.56829E+14
147,8785559936,T-Mobile,Google Pixel 6 Pro,3.54829E+14
148,7175551186,Verizon,iPhone 12 Pro Max,3.53829E+14
149,2235556618,AT&T,Motorola Moto G 5G,3.55829E+14
150,4845552208,T-Mobile,Samsung Galaxy A53,3.5692E+14
151,2155557726,Verizon,iPhone 14,3.53829E+14
152,2675552210,AT&T,Google Pixel 7,3.54829E+14
153,5705556613,T-Mobile,OnePlus 10 Pro,3.5592E+14
154,4125553309,Verizon,iPhone 15,3.53829E+14
155,6105559936,AT&T,Samsung Galaxy S22+,3.56829E+14
156,7245556614,T-Mobile,Google Pixel 8,3.54829E+14
157,8785553308,Verizon,iPhone 13,3.53829E+14
158,7175559937,AT&T,Motorola G Play,3.55829E+14
159,2235559934,T-Mobile,Samsung Galaxy S21,3.5692E+14
160,4845556613,Verizon,iPhone 12,3.53829E+14
161,2155556617,AT&T,Google Pixel 6,3.54829E+14
162,2675559935,T-Mobile,OnePlus 9 Pro,3.5592E+14
163,5705559937,Verizon,iPhone 11,3.53829E+14
164,4125557725,AT&T,Samsung Galaxy S20 FE,3.56829E+14
165,6105553307,T-Mobile,Google Pixel 5,3.54829E+14
166,7245559937,Verizon,iPhone SE,3.53829E+14
167,8785556614,AT&T,Motorola Edge,3.55829E+14
168,7175553304,T-Mobile,Samsung Galaxy A34,3.5692E+14
169,2235552205,Verizon,iPhone 14 Pro,3.53829E+14
170,4845559935,AT&T,Google Pixel 7a,3.54829E+14
171,2155559934,T-Mobile,OnePlus 11,3.5592E+14
172,2675556612,Verizon,iPhone 15 Pro,3.53829E+14
173,5705551186,AT&T,Samsung Galaxy S23 Ultra,3.56829E+14
174,4125559937,T-Mobile,Google Pixel 8 Pro,3.54829E+14
175,6105556615,Verizon,iPhone 14 Plus,3.53829E+14
176,7245551184,AT&T,Motorola G Power,3.55829E+14
177,8785557727,T-Mobile,Samsung Galaxy A14,3.5692E+14
178,7175552206,Verizon,iPhone 13 Pro,3.53829E+14
179,2235551185,AT&T,Google Pixel 6a,3.54829E+14
180,4845557723,T-Mobile,OnePlus Nord N30,3.5592E+14
181,2155554412,Verizon,iPhone 12 Mini,3.53829E+14
182,2675557726,AT&T,Samsung Galaxy S10,3.56829E+14
183,5705552202,T-Mobile,Google Pixel 4a,3.54829E+14
184,4125551185,Verizon,iPhone XR,3.53829E+14
185,6105557725,AT&T,Motorola G Stylus,3.55829E+14
186,7245554413,T-Mobile,Samsung Galaxy S21 FE,3.5692E+14
187,8785559938,Verizon,iPhone 11 Pro,3.53829E+14
188,7175557727,AT&T,Google Pixel 5a,3.54829E+14
189,2235554415,T-Mobile,OnePlus 8T,3.5592E+14
190,4845551185,Verizon,iPhone 12 Pro,3.53829E+14
191,2155556621,AT&T,Samsung Galaxy S23,3.56829E+14
192,2675554413,T-Mobile,Google Pixel 7,3.54829E+14
193,5705559938,Verizon,iPhone 14,3.53829E+14
194,4125553310,AT&T,Motorola Edge,3.55829E+14
195,6105551187,T-Mobile,Samsung Galaxy S22,3.5692E+14
196,7245557728,Verizon,iPhone 13,3.53829E+14
197,8785552203,AT&T,Google Pixel 6,3.54829E+14
198,7175554420,T-Mobile,OnePlus 10,3.5592E+14
199,2235557726,Verizon,iPhone 15,3.53829E+14
200,4845553306,AT&T,Samsung Galaxy A54,3.56829E+14
201,2155557728,Verizon,iPhone 14 Pro,3.53829E+14
202,2675552211,AT&T,Samsung Galaxy S23 Ultra,3.56829E+14
203,5705556615,T-Mobile,Google Pixel 8 Pro,3.54829E+14
204,4125553311,Verizon,iPhone 13 Mini,3.53829E+14
205,6105559937,AT&T,Motorola Edge 2023,3.55829E+14
206,7245556616,T-Mobile,Samsung Galaxy A53,3.5692E+14
207,8785553309,Verizon,iPhone 12 Pro Max,3.53829E+14
208,7175559938,AT&T,Google Pixel 7a,3.54829E+14
209,2235559935,T-Mobile,OnePlus 11,3.5592E+14
210,4845556614,Verizon,iPhone 15 Pro,3.53829E+14
211,2155556618,AT&T,Samsung Galaxy S22+,3.56829E+14
212,2675559936,T-Mobile,Google Pixel 8,3.54829E+14
213,5705559939,Verizon,iPhone 14 Plus,3.53829E+14
214,4125557728,AT&T,Motorola G Power,3.55829E+14
215,6105553308,T-Mobile,Samsung Galaxy S21 FE,3.5692E+14
216,7245559938,Verizon,iPhone 11 Pro,3.53829E+14
217,8785556615,AT&T,Google Pixel 6a,3.54829E+14
218,7175553305,T-Mobile,OnePlus 10 Pro,3.5592E+14
219,2235552206,Verizon,iPhone 15,3.53829E+14
220,4845559936,AT&T,Samsung Galaxy A34,3.56829E+14
221,2155559935,T-Mobile,Google Pixel 5a,3.54829E+14
222,2675556613,Verizon,iPhone 12 Mini,3.53829E+14
223,5705551188,AT&T,Motorola G Stylus,3.55829E+14
224,4125559938,T-Mobile,Samsung Galaxy S10,3.5692E+14
225,6105556616,Verizon,iPhone XR,3.53829E+14
226,7245551185,AT&T,Google Pixel 4a,3.54829E+14
227,8785557729,T-Mobile,OnePlus 8T,3.5592E+14
228,7175552207,Verizon,iPhone 12 Pro,3.53829E+14
229,2235551186,AT&T,Samsung Galaxy S23+,3.56829E+14
230,4845557724,T-Mobile,Google Pixel 7,3.54829E+14
231,2155554413,Verizon,iPhone 14,3.53829E+14
232,2675557727,AT&T,Motorola Edge+,3.55829E+14
233,5705552203,T-Mobile,Samsung Galaxy S21,3.5692E+14
234,4125551186,Verizon,iPhone 13,3.53829E+14
235,6105557726,AT&T,Google Pixel 6,3.54829E+14
236,7245554414,T-Mobile,OnePlus 9 Pro,3.5592E+14
237,8785559939,Verizon,iPhone SE,3.53829E+14
238,7175557728,AT&T,Samsung Galaxy A14,3.56829E+14
239,2235554416,T-Mobile,Google Pixel 5,3.54829E+14
240,4845551186,Verizon,iPhone 11,3.53829E+14
241,2155556622,AT&T,Samsung Galaxy S20 FE,3.56829E+14
242,2675554414,T-Mobile,Google Pixel 6 Pro,3.54829E+14
243,5705559940,Verizon,iPhone 15 Plus,3.53829E+14
244,4125553312,AT&T,Motorola G Play,3.55829E+14
245,6105551188,T-Mobile,Samsung Galaxy A53,3.5692E+14
246,7245557729,Verizon,iPhone 14 Pro Max,3.53829E+14
247,8785552204,AT&T,Google Pixel 8,3.54829E+14
248,7175554421,T-Mobile,OnePlus 12,3.5592E+14
249,2235557727,Verizon,iPhone 13 Pro Max,3.53829E+14
250,4845553307,AT&T,Samsung Galaxy S23,3.56829E+14
251,2155557729,T-Mobile,Google Pixel 7a,3.54829E+14
252,2675552212,Verizon,iPhone 12,3.53829E+14
253,5705556616,AT&T,Motorola Edge,3.55829E+14
254,4125553313,T-Mobile,Samsung Galaxy S22,3.5692E+14
255,6105559939,Verizon,iPhone 14,3.53829E+14
256,7245556617,AT&T,Google Pixel 8 Pro,3.54829E+14
257,8785553310,T-Mobile,OnePlus 11,3.5592E+14
258,7175559939,Verizon,iPhone 15 Pro,3.53829E+14
259,2235559936,AT&T,Samsung Galaxy S23 Ultra,3.56829E+14
260,4845556615,T-Mobile,Google Pixel Fold,3.54829E+14
261,2155556619,Verizon,iPhone 13 Mini,3.53829E+14
262,2675559937,AT&T,Motorola Edge 2023,3.55829E+14
263,5705559941,T-Mobile,Samsung Galaxy A34,3.5692E+14
264,4125557729,Verizon,iPhone 12 Pro Max,3.53829E+14
265,6105553309,AT&T,Google Pixel 7,3.54829E+14
266,7245559940,T-Mobile,OnePlus 10,3.5592E+14
267,8785556616,Verizon,iPhone 11 Pro,3.53829E+14
268,7175553306,AT&T,Samsung Galaxy S21 FE,3.56829E+14
269,2235552207,T-Mobile,Google Pixel 6a,3.54829E+14
270,4845559937,Verizon,iPhone 14 Plus,3.53829E+14
271,2155559936,AT&T,Motorola G Power,3.55829E+14
272,2675556614,T-Mobile,Samsung Galaxy S10,3.5692E+14
273,5705551189,Verizon,iPhone XR,3.53829E+14
274,4125559939,AT&T,Google Pixel 4a,3.54829E+14
275,6105556617,T-Mobile,OnePlus 8T,3.5592E+14
276,7245551186,Verizon,iPhone 11,3.53829E+14
277,8785557730,AT&T,Samsung Galaxy S20 FE,3.56829E+14
278,7175552208,T-Mobile,Google Pixel 5a,3.54829E+14
279,2235851187,Verizon,iPhone 12 Mini,3.53829E+14
280,4845557725,AT&T,Motorola G Stylus,3.55829E+14
281,2155554414,T-Mobile,Samsung Galaxy S21,3.5692E+14
282,2675557728,Verizon,iPhone 13,3.53829E+14
283,5705552204,AT&T,Google Pixel 6,3.54829E+14
284,4125551187,T-Mobile,OnePlus 9 Pro,3.5592E+14
285,6105557727,Verizon,iPhone SE,3.53829E+14
286,7245554415,AT&T,Samsung Galaxy A14,3.56829E+14
287,8785559940,T-Mobile,Google Pixel 5,3.54829E+14
288,7175557729,Verizon,iPhone 11 Pro,3.53829E+14
289,2235554417,AT&T,OnePlus 11,3.5592E+14
290,4845551187,T-Mobile,Samsung Galaxy S23+,3.5692E+14
291,2155556623,Verizon,iPhone 15,3.53829E+14
292,2675554415,AT&T,Google Pixel 7,3.54829E+14
293,5705559942,T-Mobile,OnePlus 12,3.5592E+14
294,4125553314,Verizon,iPhone 14 Pro,3.53829E+14
295,6105551189,AT&T,Samsung Galaxy S22+,3.56829E+14
296,7245557730,T-Mobile,Google Pixel 8,3.54829E+14
297,8785552205,Verizon,iPhone 13 Pro,3.53829E+14
298,7175554422,AT&T,Motorola Edge+,3.55829E+14
299,2235557728,T-Mobile,Samsung Galaxy S23 Ultra,3.5692E+14
300,4845553308,Verizon,iPhone 15 Pro Max,3.53829E+14
301,2155557720,AT&T,Samsung Galaxy S22,3.56829E+14
302,2675553301,T-Mobile,Google Pixel 7,3.54829E+14
303,5705556617,Verizon,iPhone 14,3.53829E+14
304,4125554410,AT&T,Motorola Edge,3.55829E+14
305,6105551180,T-Mobile,Samsung Galaxy S21,3.5692E+14
306,7245557721,Verizon,iPhone 13,3.53829E+14
307,8785552206,AT&T,Google Pixel 6,3.54829E+14
308,7175554410,T-Mobile,OnePlus 10,3.5592E+14
309,2235557720,Verizon,iPhone 15,3.53829E+14
310,4845553309,AT&T,Samsung Galaxy A54,3.56829E+14
311,2155551181,T-Mobile,Google Pixel 8,3.54829E+14
312,2675557721,Verizon,iPhone 12,3.53829E+14
313,5705552208,AT&T,Motorola G Power,3.55829E+14
314,4125559931,T-Mobile,Samsung Galaxy S21 FE,3.5692E+14
315,6105556610,Verizon,iPhone 14 Pro,3.53829E+14
316,7245551180,AT&T,Google Pixel 7a,3.54829E+14
317,8785557723,T-Mobile,OnePlus 11,3.5592E+14
318,7175559930,Verizon,iPhone 13 Pro,3.53829E+14
319,2235551180,AT&T,Samsung Galaxy S23 Ultra,3.56829E+14
320,4845556611,T-Mobile,Google Pixel 8 Pro,3.54829E+14
321,2155553302,Verizon,iPhone 12 Pro,3.53829E+14
322,2675551182,AT&T,Motorola Edge+,3.55829E+14
323,5705557720,T-Mobile,Samsung Galaxy A34,3.5692E+14
324,4125552201,Verizon,iPhone 11,3.53829E+14
325,6105559932,AT&T,Google Pixel 5a,3.54829E+14
326,7245553302,T-Mobile,OnePlus 9,3.5592E+14
327,8785956610,Verizon,iPhone SE,3.53829E+14
328,7175551180,AT&T,Samsung Galaxy S20 FE,3.56829E+14
329,2235553301,T-Mobile,Google Pixel 6a,3.54829E+14
330,4845559930,Verizon,iPhone 14 Plus,3.53829E+14
331,2155557721,AT&T,Motorola G Stylus,3.55829E+14
332,2675552201,T-Mobile,Samsung Galaxy S10,3.5692E+14
333,5705551181,Verizon,iPhone XR,3.53829E+14
334,4125557720,AT&T,Google Pixel 4a,3.54829E+14
335,6105552201,T-Mobile,OnePlus 8T,3.5592E+14
336,7245559931,Verizon,iPhone 11 Pro,3.53829E+14
337,8785551180,AT&T,Samsung Galaxy S21 FE,3.56829E+14
338,7175557721,T-Mobile,Google Pixel 5,3.54829E+14
339,2235554410,Verizon,iPhone 13 Mini,3.53829E+14
340,4845551180,AT&T,Motorola Edge 2023,3.55829E+14
341,2155556610,T-Mobile,Samsung Galaxy S23+,3.5692E+14
342,2675559931,Verizon,iPhone 15 Plus,3.53829E+14
343,5705553301,AT&T,Google Pixel Fold,3.54829E+14
344,4125556610,T-Mobile,OnePlus 12,3.5592E+14
345,6105551181,Verizon,iPhone 13 Pro Max,3.53829E+14
346,7245552201,AT&T,Samsung Galaxy Z Flip,3.56829E+14
347,8785559930,T-Mobile,Google Pixel 6 Pro,3.54829E+14
348,7175551181,Verizon,iPhone 12 Pro Max,3.53829E+14
349,2235556610,AT&T,Motorola Moto G 5G,3.55829E+14
350,4845552201,T-Mobile,Samsung Galaxy A53,3.5692E+14
351,2155557722,Verizon,iPhone 14,3.53829E+14
352,2675552202,AT&T,Google Pixel 7,3.54829E+14
353,5705556611,T-Mobile,OnePlus 10 Pro,3.5592E+14
354,4125553301,Verizon,iPhone 15,3.53829E+14
355,6105559933,AT&T,Samsung Galaxy S22+,3.56829E+14
356,7245556611,T-Mobile,Google Pixel 8,3.54829E+14
357,8785553301,Verizon,iPhone 13,3.53829E+14
358,7175559931,AT&T,Motorola G Play,3.55829E+14
359,2235559930,T-Mobile,Samsung Galaxy S21,3.5692E+14
360,4849956612,Verizon,iPhone 12,3.53829E+14
361,2158056611,AT&T,Google Pixel 6,3.54829E+14
362,2675559932,T-Mobile,OnePlus 9 Pro,3.5592E+14
363,5705559931,Verizon,iPhone 11,3.53829E+14
364,4123127721,AT&T,Samsung Galaxy S20 FE,3.56829E+14
365,6107083301,T-Mobile,Google Pixel 5,3.54829E+14
366,7245567932,Verizon,iPhone SE,3.53829E+14
367,8785587611,AT&T,Motorola Edge,3.55829E+14
368,7175553301,T-Mobile,Samsung Galaxy A34,3.5692E+14
369,2235552201,Verizon,iPhone 14 Pro,3.53829E+14
370,4845758931,AT&T,Google Pixel 7a,3.54829E+14
371,2155559931,T-Mobile,OnePlus 11,3.5592E+14
372,2675763612,Verizon,iPhone 15 Pro,3.53829E+14
373,5705481182,AT&T,Samsung Galaxy S23 Ultra,3.56829E+14
374,4125559932,T-Mobile,Google Pixel 8 Pro,3.54829E+14
375,6105556613,Verizon,iPhone 14 Plus,3.53829E+14
376,7245551154,AT&T,Motorola G Power,3.55829E+14
377,8785599722,T-Mobile,Samsung Galaxy A14,3.5692E+14
378,7175552202,Verizon,iPhone 13 Pro,3.53829E+14
379,2235441181,AT&T,Google Pixel 6a,3.54829E+14
380,4845599721,T-Mobile,OnePlus Nord N30,3.5592E+14
381,2155554411,Verizon,iPhone 12 Mini,3.53829E+14
382,2675586722,AT&T,Samsung Galaxy S10,3.56829E+14
383,5705002202,T-Mobile,Google Pixel 4a,3.54829E+14
384,4127671182,Verizon,iPhone XR,3.53829E+14
385,6106767722,AT&T,Motorola G Stylus,3.55829E+14
386,7249884411,T-Mobile,Samsung Galaxy S21 FE,3.5692E+14
387,8789089932,Verizon,iPhone 11 Pro,3.53829E+14
388,7178897722,AT&T,Google Pixel 5a,3.54829E+14
389,2233434411,T-Mobile,OnePlus 8T,3.5592E+14
390,4842341182,Verizon,iPhone 12 Pro,3.53829E+14
391,2155346620,AT&T,Samsung Galaxy S23,3.56829E+14
392,2672454411,T-Mobile,Google Pixel 7,3.54829E+14
393,5705449932,Verizon,iPhone 14,3.53829E+14
394,4123253302,AT&T,Motorola Edge,3.55829E+14
395,6102341183,T-Mobile,Samsung Galaxy S22,3.5692E+14
396,7241567723,Verizon,iPhone 13,3.53829E+14
397,8787852203,AT&T,Google Pixel 6,3.54829E+14
398,7179094412,T-Mobile,OnePlus 10,3.5592E+14
399,2230097723,Verizon,iPhone 15,3.53829E+14
400,4841423303,AT&T,Samsung Galaxy A54,3.56829E+14
401,2152357724,Verizon,iPhone 14 Pro,3.5383E+14
402,2675642213,AT&T,Samsung Galaxy S23 Ultra,3.5683E+14
403,5707646618,T-Mobile,Google Pixel 8 Pro,3.5483E+14
404,4124563315,Verizon,iPhone 13 Mini,3.5383E+14
405,6104679940,AT&T,Motorola Edge 2023,3.5583E+14
406,7248646618,T-Mobile,Samsung Galaxy A53,3.56921E+14
407,8788653311,Verizon,iPhone 12 Pro Max,3.5383E+14
408,7178889940,AT&T,Google Pixel 7a,3.5483E+14
409,2236789937,T-Mobile,OnePlus 11,3.55921E+14
410,4844356616,Verizon,iPhone 15 Pro,3.5383E+14
411,2152356612,AT&T,Samsung Galaxy S22+,3.5683E+14
412,2673219938,T-Mobile,Google Pixel 8,3.5483E+14
413,5702159943,Verizon,iPhone 14 Plus,3.5383E+14
414,4128597730,AT&T,Motorola G Power,3.5583E+14
415,6107523310,T-Mobile,Samsung Galaxy S21 FE,3.56921E+14
416,7243479941,Verizon,iPhone 11 Pro,3.5383E+14
417,8780906617,AT&T,Google Pixel 6a,3.5483E+14
418,7170803307,T-Mobile,OnePlus 10 Pro,3.55921E+14
419,2230702208,Verizon,iPhone 15,3.5383E+14
420,4846069940,AT&T,Samsung Galaxy A34,3.5683E+14
421,2150509937,T-Mobile,Google Pixel 5a,3.5483E+14
422,2674046615,Verizon,iPhone 12 Mini,3.5383E+14
423,5700401190,AT&T,Motorola G Stylus,3.5583E+14
424,4124249940,T-Mobile,Samsung Galaxy S10,3.56921E+14
425,6101216618,Verizon,iPhone XR,3.5383E+14
426,7244141187,AT&T,Google Pixel 4a,3.5483E+14
427,8782427731,T-Mobile,OnePlus 8T,3.55921E+14
428,7173232209,Verizon,iPhone 12 Pro,3.5383E+14
429,2234541188,AT&T,Samsung Galaxy S23+,3.5683E+14
430,4845464726,T-Mobile,Google Pixel 7,3.5483E+14
431,2155744415,Verizon,iPhone 14,3.5383E+14
432,2674397729,AT&T,Motorola Edge+,3.5583E+14
433,5700992205,T-Mobile,Samsung Galaxy S21,3.56921E+14
434,4124241188,Verizon,iPhone 13,3.5383E+14
435,6102347728,AT&T,Google Pixel 6,3.5483E+14
436,7244324416,T-Mobile,OnePlus 9 Pro,3.55921E+14
437,8780909941,Verizon,iPhone SE,3.5383E+14
438,7175757730,AT&T,Samsung Galaxy A14,3.5683E+14
439,2234854418,T-Mobile,Google Pixel 5,3.5483E+14
440,4842721188,Verizon,iPhone 11,3.5383E+14
441,2158546624,AT&T,Samsung Galaxy S20 FE,3.5683E+14
442,2678904416,T-Mobile,Google Pixel 6 Pro,3.5483E+14
443,5707699944,Verizon,iPhone 15 Plus,3.5383E+14
444,4125393316,AT&T,Motorola G Play,3.5583E+14
445,6105231190,T-Mobile,Samsung Galaxy A53,3.56921E+14
446,7245247731,Verizon,iPhone 14 Pro Max,3.5383E+14
447,8786262207,AT&T,Google Pixel 8,3.5483E+14
448,7174524423,T-Mobile,OnePlus 12,3.55921E+14
449,2236257729,Verizon,iPhone 13 Pro Max,3.5383E+14
